Company,Contact,Title,LinkedIn,Priority,Agent Use Case
KlearNow.AI,Rayed,Partner,linkedin.com/in/rayed,High,Customs Broker Agent
Narada,Rayed,Partner,linkedin.com/in/rayed,High,Executive Assistant
Newtrul,Rayed,Partner,linkedin.com/in/rayed,High,Freight Negotiation
Avaamo,Rayed,Partner,linkedin.com/in/rayed,High,IT Helpdesk
Boomerang,Shael,Partner,linkedin.com/in/shael,Medium,Pipeline Rescue
Fortella,Shael,Partner,linkedin.com/in/shael,High,SDR Agent
Tatari,Shael,Partner,linkedin.com/in/shael,High,Media Buying
Tribyl,Shael,Partner,linkedin.com/in/shael,High,Win/Loss Analysis
StrikeReady,Sarah,Partner,linkedin.com/in/sarah,High,SOC Analyst
Tekion,Imran,Partner,linkedin.com/in/imran,High,Service Advisor
Track3D,Imran,Partner,linkedin.com/in/imran,High,Site Superintendent
XY Retail,Imran,Partner,linkedin.com/in/imran,Medium,Clienteling
